market,year,production_qbtu,consumption_qbtu,net_petroleum_position,petroleum_surplus,production_series_id,consumption_series_id
AUS,1980,0.0,1.225279062,-1.0,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1981,0.0,1.195341055,-1.0,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1982,0.0,1.26261968,-1.0,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1983,0.0,1.21632527,-1.0,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1984,1.1180301054658142,1.289833148610852,-0.13319788170281519,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1985,1.208757190285889,1.28584508588938,-0.05995115309724242,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1986,1.1542958826132688,1.2954069417487,-0.10893183800987055,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1987,1.2380515566862886,1.32661399268336,-0.06675825559320005,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1988,1.170529874279755,1.396856238139572,-0.16202552394457845,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1989,1.1005266857202582,1.450944062165015,-0.24150991453239357,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1990,1.2780914463460773,1.475459823734725,-0.13376736812057907,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1991,1.209723977088457,1.442688668116185,-0.1614795320544977,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1992,1.1948578150907008,1.460019118714782,-0.18161495299972236,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1993,1.1131660163292465,1.516703835770975,-0.2660623715219927,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1994,1.1998470722957322,1.570986003499725,-0.2362458547544009,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1995,1.1498554387561184,1.6151446489282,-0.2880789720480111,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1996,1.2029204003440293,1.665311362814406,-0.2776603659804061,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1997,1.2859400689828067,1.694436242753505,-0.24108087602451236,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1998,1.237034181092471,1.701952655665625,-0.27316768949211856,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,1999,1.2172087523169732,1.748654110655105,-0.3039167981248358,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,2000,1.5983694076149872,1.748792672430486,-0.08601549353843035,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,2001,1.4639962789023946,1.74202137273997,-0.1595991290280662,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,2002,1.416402903633632,1.787929272373455,-0.20779701662729982,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,2003,1.2111981699824863,1.857243477882685,-0.3478517036639215,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,2004,1.0504222183834566,1.898587413360258,-0.44673486667419593,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,2005,1.0682013709560778,1.927918573184805,-0.44593024528443975,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
AUS,2006,1.0280120849528935,1.952886288194245,-0.47359347486460424,0,INTL.4415-1-AUS-QBTU.A,INTL.4415-2-AUS-QBTU.A
