market,source_area,euro_area_series,observations,start,end,positive_stock
AUS,AUS,False,797,1960-01,2026-05,True
BEL,EA20,True,677,1970-01,2026-05,True
CAN,CAN,False,676,1970-01,2026-04,True
CHE,CHE,False,654,1971-12,2026-05,True
DEU,EA20,True,677,1970-01,2026-05,True
ESP,EA20,True,677,1970-01,2026-05,True
FRA,EA20,True,677,1970-01,2026-05,True
GBR,GBR,False,477,1986-09,2026-05,True
JPN,JPN,False,557,1980-01,2026-05,True
NLD,EA20,True,677,1970-01,2026-05,True
NOR,NOR,False,797,1960-01,2026-05,True
USA,USA,False,797,1960-01,2026-05,True
ZAF,ZAF,False,735,1965-03,2026-05,True
