source_area,month,broad_money_xdc,observation_status,unit_multiplier,decimals
AUS,1960-01,7132.0,A,6,0
AUS,1960-02,7191.0,A,6,0
AUS,1960-03,7238.0,A,6,0
AUS,1960-04,7227.0,A,6,0
AUS,1960-05,7160.0,A,6,0
AUS,1960-06,7192.0,A,6,0
AUS,1960-07,7187.0,A,6,0
AUS,1960-08,7208.0,A,6,0
AUS,1960-09,7241.0,A,6,0
AUS,1960-10,7315.0,A,6,0
AUS,1960-11,7365.0,A,6,0
AUS,1960-12,7401.0,A,6,0
AUS,1961-01,7341.0,A,6,0
AUS,1961-02,7385.0,A,6,0
AUS,1961-03,7401.0,A,6,0
AUS,1961-04,7388.0,A,6,0
AUS,1961-05,7294.0,A,6,0
AUS,1961-06,7301.0,A,6,0
AUS,1961-07,7298.0,A,6,0
AUS,1961-08,7359.0,A,6,0
AUS,1961-09,7439.0,A,6,0
AUS,1961-10,7542.0,A,6,0
AUS,1961-11,7634.0,A,6,0
AUS,1961-12,7753.0,A,6,0
AUS,1962-01,7805.0,A,6,0
AUS,1962-02,7869.0,A,6,0
AUS,1962-03,7915.0,A,6,0
AUS,1962-04,7906.0,A,6,0
AUS,1962-05,7814.0,A,6,0
AUS,1962-06,7845.0,A,6,0
AUS,1962-07,7901.0,A,6,0
AUS,1962-08,7956.0,A,6,0
AUS,1962-09,8026.0,A,6,0
AUS,1962-10,8155.0,A,6,0
AUS,1962-11,8237.0,A,6,0
AUS,1962-12,8367.0,A,6,0
AUS,1963-01,8430.0,A,6,0
AUS,1963-02,8498.0,A,6,0
AUS,1963-03,8542.0,A,6,0
AUS,1963-04,8531.0,A,6,0
AUS,1963-05,8471.0,A,6,0
AUS,1963-06,8517.0,A,6,0
AUS,1963-07,8599.0,A,6,0
AUS,1963-08,8658.0,A,6,0
AUS,1963-09,8751.0,A,6,0
AUS,1963-10,8907.0,A,6,0
AUS,1963-11,9063.0,A,6,0
AUS,1963-12,9242.0,A,6,0
AUS,1964-01,9339.0,A,6,0
AUS,1964-02,9429.0,A,6,0
AUS,1964-03,9541.0,A,6,0
AUS,1964-04,9544.0,A,6,0
AUS,1964-05,9477.0,A,6,0
AUS,1964-06,9556.0,A,6,0
AUS,1964-07,9656.0,A,6,0
AUS,1964-08,9734.0,A,6,0
AUS,1964-09,9880.0,A,6,0
AUS,1964-10,9992.0,A,6,0
AUS,1964-11,10142.0,A,6,0
AUS,1964-12,10313.0,A,6,0
AUS,1965-01,10300.0,A,6,0
AUS,1965-02,10439.0,A,6,0
AUS,1965-03,10489.0,A,6,0
AUS,1965-04,10404.0,A,6,0
AUS,1965-05,10288.0,A,6,0
AUS,1965-06,10337.0,A,6,0
AUS,1965-07,10319.0,A,6,0
AUS,1965-08,10379.0,A,6,0
AUS,1965-09,10459.0,A,6,0
AUS,1965-10,10560.0,A,6,0
AUS,1965-11,10690.0,A,6,0
AUS,1965-12,10845.0,A,6,0
AUS,1966-01,10876.0,A,6,0
AUS,1966-02,11052.0,A,6,0
AUS,1966-03,11000.0,A,6,0
AUS,1966-04,10964.0,A,6,0
AUS,1966-05,10877.0,A,6,0
AUS,1966-06,10937.0,A,6,0
AUS,1966-07,10980.0,A,6,0
AUS,1966-08,11104.0,A,6,0
AUS,1966-09,11218.0,A,6,0
AUS,1966-10,11356.0,A,6,0
AUS,1966-11,11517.0,A,6,0
AUS,1966-12,11686.0,A,6,0
AUS,1967-01,11706.0,A,6,0
AUS,1967-02,11831.0,A,6,0
AUS,1967-03,11895.0,A,6,0
AUS,1967-04,11771.0,A,6,0
AUS,1967-05,11749.0,A,6,0
AUS,1967-06,11824.0,A,6,0
AUS,1967-07,11903.0,A,6,0
AUS,1967-08,12019.0,A,6,0
AUS,1967-09,12155.0,A,6,0
AUS,1967-10,12312.0,A,6,0
AUS,1967-11,12505.0,A,6,0
AUS,1967-12,12739.0,A,6,0
AUS,1968-01,12802.0,A,6,0
AUS,1968-02,12800.0,A,6,0
AUS,1968-03,12824.0,A,6,0
AUS,1968-04,12772.0,A,6,0
AUS,1968-05,12684.0,A,6,0
AUS,1968-06,12805.0,A,6,0
AUS,1968-07,12878.0,A,6,0
AUS,1968-08,12956.0,A,6,0
AUS,1968-09,13096.0,A,6,0
AUS,1968-10,13271.0,A,6,0
AUS,1968-11,13422.0,A,6,0
AUS,1968-12,13635.0,A,6,0
AUS,1969-01,13757.0,A,6,0
AUS,1969-02,13868.0,A,6,0
AUS,1969-03,13930.0,A,6,0
AUS,1969-04,13932.0,A,6,0
AUS,1969-05,13883.0,A,6,0
AUS,1969-06,13974.0,A,6,0
AUS,1969-07,14057.0,A,6,0
AUS,1969-08,14154.0,A,6,0
AUS,1969-09,14266.0,A,6,0
AUS,1969-10,14475.0,A,6,0
AUS,1969-11,14705.0,A,6,0
AUS,1969-12,14934.0,A,6,0
AUS,1970-01,14882.0,A,6,0
AUS,1970-02,14975.0,A,6,0
AUS,1970-03,15105.0,A,6,0
AUS,1970-04,14991.0,A,6,0
AUS,1970-05,14860.0,A,6,0
AUS,1970-06,14837.0,A,6,0
AUS,1970-07,14859.0,A,6,0
AUS,1970-08,14885.0,A,6,0
AUS,1970-09,15038.0,A,6,0
AUS,1970-10,15221.0,A,6,0
AUS,1970-11,15428.0,A,6,0
AUS,1970-12,15698.0,A,6,0
AUS,1971-01,15648.0,A,6,0
AUS,1971-02,15805.0,A,6,0
AUS,1971-03,15908.0,A,6,0
AUS,1971-04,15868.0,A,6,0
AUS,1971-05,15767.0,A,6,0
AUS,1971-06,15851.0,A,6,0
AUS,1971-07,15861.0,A,6,0
AUS,1971-08,16059.0,A,6,0
AUS,1971-09,16350.0,A,6,0
AUS,1971-10,16526.0,A,6,0
