market,year,oil_rents_pct_gdp,indicator_code,indicator_name
AUS,1960,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1961,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1962,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1963,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1964,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1965,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1966,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1967,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1968,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1969,,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1970,0.0153710223028318,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1971,0.0253198031265626,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1972,0.0772457057276175,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1973,0.248095609277592,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1974,1.24983188764352,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1975,1.31204877070562,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1976,1.35846553041966,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1977,1.51713853676785,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1978,1.35918446431775,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1979,2.93104683007127,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1980,2.80222598045723,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1981,1.90661890421157,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1982,1.14392595319274,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1983,1.42608236601379,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1984,1.5738765141311,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1985,1.90782675227061,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1986,0.912782136823864,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1987,1.29742789477165,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1988,0.775504211333759,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
AUS,1989,0.794334616368393,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
